Day,CaptureBlock_ID,SB_ID,Setup_Start_LST,Observation_Start_LST,Observation_End_LST,Band,Night_only,Visibility_window,Duration_hrs
9,20250412092432,DelayCal,0.10638888888888687,0.10638888888888687,0.35638888888888687,l,No,,0.25
9,20250412092432,20241208151554,0.10638888888888687,0.35638888888888687,5.359999999999998,l,No,23.25-2.75,5.003611111111111
9,20250412143945,DelayCal,5.359999999999998,5.359999999999998,5.609999999999998,l,No,,0.25
9,20250412143945,20250116184257,5.359999999999998,5.609999999999998,11.092777777777776,l,No,4.00-8.50,5.482777777777778
9,20250412202343,DelayCal,11.092777777777776,11.092777777777776,11.342777777777776,l,Yes,,0.25
9,20250412202343,20241209110223,11.092777777777776,11.342777777777776,19.126388888888886,l,Yes,11.18-12.50,7.783611111111111
9,20250413042544,DelayCal,19.126388888888886,19.126388888888886,19.376388888888886,l,No,,0.25
9,20250413042544,20241124212857,19.126388888888886,19.376388888888886,0.10638888888888687,l,No,18.50-22.00,4.73
10,20250413092432,DelayCal,0.10638888888888687,0.10638888888888687,0.35638888888888687,l,No,,0.25
10,20250413092432,20241202191652,0.10638888888888687,0.35638888888888687,5.356666666666665,l,No,23.25-2.75,5.000277777777778
10,20250413143933,DelayCal,5.356666666666665,5.356666666666665,5.606666666666665,l,No,,0.25
10,20250413143933,20250225154720,5.356666666666665,5.606666666666665,11.031388888888888,l,No,1.58-7.00,5.424722222222222
10,20250413202002,DelayCal,11.031388888888888,11.031388888888888,11.281388888888888,l,Yes,,0.25
10,20250413202002,20241122100838,11.031388888888888,11.281388888888888,19.059166666666666,l,Yes,11.18-12.50,7.777777777777778
10,20250414042142,DelayCal,19.059166666666666,19.059166666666666,19.309166666666666,l,No,,0.25
10,20250414042142,20241122153545,19.059166666666666,19.309166666666666,0.10638888888888687,l,No,18.00-20.00,4.797222222222221
11,20250414092432,DelayCal,0.10638888888888687,0.10638888888888687,0.35638888888888687,l,No,,0.25
11,20250414092432,20241208151655,0.10638888888888687,0.35638888888888687,5.3505555555555535,l,No,23.25-2.75,4.994166666666667
11,20250414143911,DelayCal,5.3505555555555535,5.3505555555555535,5.6005555555555535,l,No,,0.25
11,20250414143911,20241208152116,5.3505555555555535,5.6005555555555535,10.64722222222222,l,No,4.50-7.25,5.046666666666667
11,20250414195659,DelayCal,10.64722222222222,10.64722222222222,10.89722222222222,l,Yes,,0.25
11,20250414195659,20241216114001,10.64722222222222,10.89722222222222,17.295277777777777,l,Yes,10.00-12.00,6.398055555555556
11,20250415023552,DelayCal,17.295277777777777,17.295277777777777,17.545277777777777,l,No,,0.25
11,20250415023552,20241126043745,17.295277777777777,17.545277777777777,0.10638888888889042,l,No,17.00-19.25,6.561111111111113
12,20250415092432,DelayCal,0.10638888888889042,0.10638888888889042,0.3563888888888904,l,No,,0.25
12,20250415092432,20241208151801,0.10638888888889042,0.3563888888888904,5.350555555555557,l,No,23.25-2.75,4.994166666666667
