Day,Observation_ID,Start_LST,End_LST,Band,Night_only,Visibility_window
7,20241129173227,21.831388888888902,22.896111111111125,l,No,15.38-21.98
7,20250217144205,22.896111111111125,1.4210854715202004e-14,l,No,0.00-23.00
8,20241207180321,1.4210854715202004e-14,5.214444444444458,l,No,19.50-1.00
8,20250217171530,5.214444444444458,9.920277777777791,l,No,1.50-6.00
8,20241203234540,9.920277777777791,10.894722222222235,l,No,2.67-11.42
8,20241203234540,10.894722222222235,11.869166666666679,l,No,2.67-11.42
8,20241204052418,11.869166666666679,12.861666666666679,l,No,5.33-12.17
8,20241203021520,12.861666666666679,15.454166666666678,l,No,10.50-16.25
8,20241203021520,15.454166666666678,18.046666666666678,l,No,10.50-16.25
8,20250307141726,18.046666666666678,19.099166666666676,l,No,12.00-19.00
8,20241129173358,19.099166666666676,20.680833333333343,l,No,15.38-21.48
8,20241129173358,20.680833333333343,22.26250000000001,l,No,15.38-21.48
8,20250217144807,22.26250000000001,1.0658141036401503e-14,l,No,16.75-23.00
9,20250217144807,1.0658141036401503e-14,2.9969444444444564,l,No,0.00-23.00
9,20250217163442,2.9969444444444564,7.622500000000012,l,No,1.50-6.00
9,20241226163858,7.622500000000012,8.952222222222234,l,No,3.00-10.50
9,20241226163858,8.952222222222234,10.281944444444456,l,No,3.00-10.50
9,20241226163858,10.281944444444456,11.611666666666679,l,No,3.00-10.50
9,20241204052632,11.611666666666679,12.603055555555567,l,No,5.58-12.08
9,20241208161730,12.603055555555567,15.138333333333346,l,No,10.50-14.00
9,20250116184555,15.138333333333346,20.61444444444446,l,No,10.75-15.17
9,20241129174313,20.61444444444446,21.679722222222235,s,No,15.38-21.50
9,20241129173355,21.679722222222235,22.727777777777792,l,No,15.38-21.98
9,20250217144807,22.727777777777792,7.105427357601002e-15,l,No,0.00-23.00
10,20241230104805,7.105427357601002e-15,5.194166666666674,l,No,19.50-1.00
10,20250206222355,5.194166666666674,8.151666666666674,l,No,2.08-7.00
10,20241204045120,8.151666666666674,9.14083333333334,l,No,3.58-11.17
10,20241204045120,9.14083333333334,10.130000000000006,l,No,3.58-11.17
10,20241204045120,10.130000000000006,11.119166666666672,l,No,3.58-11.17
10,20241204045120,11.119166666666672,12.108333333333338,l,No,3.58-11.17
10,20241204044349,12.108333333333338,13.11055555555556,l,No,5.83-12.17
10,20250206221448,13.11055555555556,16.068888888888893,l,No,10.67-13.33
10,20250206210824,16.068888888888893,19.182500000000005,l,No,12.00-18.00
10,20241129174041,19.182500000000005,20.233333333333338,s,No,15.38-21.50
10,20241129174041,20.233333333333338,21.28416666666667,s,No,15.38-21.50
